RDMS,Component Instance ID,DBInstance GUID,Time,Variable,Value of variable
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2340.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,2352.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1708.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1729.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,2473.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1506.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1669.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1700.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1572.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1858.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1627.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1780.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1836.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1983.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,2719.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1785.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1305.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1891.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1554.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1988.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,2163.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,3982.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,2633.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1404.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,2960.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1764.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,2056.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,2218.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1400.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1715.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1710.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1940.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1483.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1633.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1808.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1737.0,shared_buffers,262144.0
PostgreSQL,POSTGRESQL_shared_buffers_65536,c9d219a3-8ea9-4fe2-b0db-c3d03bd34a75,1965.0,shared_buffers,65536.0
PostgreSQL,POSTGRESQL_shared_buffers_262144,2e51fb2f-865a-4019-be5e-207b777e697d,1900.0,shared_buffers,262144.0
